# chainpdb mesofaction tacticity
AA6f0.33_a0 0.33333 [['m', 'r', 'r']]
AA6f0.33_a1 0.33333 [['m', 'r', 'r']]
AA6f0.33_a2 0.33333 [['m', 'r', 'r']]
AA6f0.33_a3 0.33333 [['m', 'r', 'r']]
AA6f0.33_a4 0.33333 [['m', 'r', 'r']]
AA6f0.33_a5 0.33333 [['m', 'r', 'r']]
AA6f0.33_a6 0.33333 [['m', 'r', 'r']]
AA6f0.33_a7 0.33333 [['m', 'r', 'r']]
AA6f0.33_a8 0.66667 [['m', 'r', 'm']]
AA6f0.33_a9 0.66667 [['m', 'r', 'm']]
AA6f0.33_a10 0.33333 [['m', 'r', 'r']]
AA6f0.33_a11 0.33333 [['m', 'r', 'r']]
AA6f0.33_a12 0.66667 [['m', 'r', 'm']]
AA6f0.33_a13 0.33333 [['m', 'r', 'r']]
AA6f0.33_a14 0.33333 [['m', 'r', 'r']]
AA6f0.33_a15 0.33333 [['m', 'r', 'r']]
AA6f0.33_a16 0.66667 [['m', 'r', 'm']]
AA6f0.33_a17 0.33333 [['m', 'r', 'r']]
AA6f0.33_a18 0.66667 [['m', 'r', 'm']]
AA6f0.33_a19 0.33333 [['m', 'r', 'r']]
AA6f0.33_a20 0.33333 [['m', 'r', 'r']]
AA6f0.33_a21 0.66667 [['m', 'r', 'm']]
AA6f0.33_a22 0.33333 [['m', 'r', 'r']]
AA6f0.33_a23 0.66667 [['m', 'r', 'm']]
AA6f0.33_a24 0.66667 [['m', 'r', 'm']]
AA6f0.33_a25 0.33333 [['m', 'r', 'r']]
AA6f0.33_a26 0.33333 [['m', 'r', 'r']]
AA6f0.33_a27 0.33333 [['m', 'r', 'r']]
AA6f0.33_a28 0.66667 [['m', 'r', 'm']]
